Prompt,What it is,How to use it,What it changes
Mythic Void Companion,Embodies the symbolic force that travels with you during spiritual emptiness.,Describe your experience of emptiness. Ask AI to summon a mythic being who walks with you.,Gives presence and meaning to existential darkness.
Symbolic Time Dilation Ritual,Creates a symbolic practice to slow or bend perceived time.,Describe where time feels out of control. Ask AI for a ritual that reorients time perception.,Restores psychological control over time experience.
Sacred Grief Witnessing,Generates an archetype that honors grief you weren’t allowed to express.,Describe a loss that was dismissed. Ask AI to summon a mythic witness to validate it.,Heals grief that was invalidated by others.
Mythic Predecessor Encounter,Stages a symbolic meeting with the part of you that lived through a prior transformation.,Name a version of you that changed. Ask AI to recreate them for a ritual dialogue.,Recovers wisdom from past growth episodes.
Symbolic Collapse Protocol,Designs a sacred ritual for falling apart on purpose.,Describe where you’re holding too much. Ask AI to design a symbolic surrender collapse.,Allows safe disintegration as a sacred act.
Sacred Subconscious Excavation,Digs into the symbolic layers beneath a recurring behavior.,Name the behavior. Ask AI to excavate its symbolic roots layer by layer.,Reveals subconscious beliefs governing conscious action.
Mythic Inheritance Reversal,Symbolically returns a family legacy or trauma you no longer wish to carry.,Describe the inheritance. Ask AI for a return ceremony.,Ends ancestral entanglement through symbolic closure.
Symbolic Energy Parasite Detector,"Identifies symbolic forces, habits, or people draining your energy.",Describe fatigue. Ask AI to scan for parasitic symbols and name their form.,Increases sovereignty over your energy field.
Sacred Double Reversal,Stages a ritual in which your enemy or fear becomes your teacher.,Describe a trigger. Ask AI to transform it into a symbolic instructor.,Reframes threat as mythic catalyst.
Mythic Love Fragment Reassembly,Gathers symbolic remnants of lost love and recombines them into wholeness.,Describe the breakup. Ask AI to retrieve symbolic love shards and reassemble them.,Restores your capacity to love with symbolic integrity.
