Prompt,What it is,How to use it,What it changes
Symbolic Time Scar Map,Maps out your most emotionally impactful moments as symbolic scars across a temporal body.,List pivotal events. Ask AI to place each as a symbolic scar on a metaphorical timeline-body.,Creates a tangible model of psychological endurance.
Unlived Life Recovery Plan,Detects the paths you abandoned or feared and symbolically retrieves their essence.,Describe regrets or missed chances. Ask AI to extract what vitality still lives in them.,Restores agency by reintegrating fragmented identity.
Symbolic Intuition Compass,Embeds your instinctual signals into a symbolic navigation system.,Describe how you sense yes/no decisions. Ask AI to convert those into mythic compass cues.,Aligns decision-making with internal navigation logic.
Compulsion Decryption Engine,Breaks down the symbolic purpose of compulsive behaviors.,Describe a habit or pattern. Ask AI what unmet symbolic need it tries to fulfill.,Turns shame into self-insight and redirection.
Symbolic Rebirth Loop Detection,Identifies where you keep returning to old versions of yourself instead of evolving.,Describe moments of regression. Ask AI to diagnose the symbolic resurrection pattern.,Interrupts psychic recursion and fosters actual growth.
Metaphorical Ancestry Translator,Converts family history into symbolic lineage traits.,Describe your ancestors. Ask AI to interpret them as mythic roles in a symbolic genealogy.,Distills personal heritage into empowering archetypes.
Shadow Currency Tracker,Reveals what ‘emotional currency’ your shadow self trades in.,Ask AI: ‘What does my shadow use to get its needs met behind my back?’,Clarifies the economy of self-sabotage and re-routes its energy.
Symbolic Betrayal Timeline,Constructs a timeline of perceived betrayals and the symbolic contracts broken.,List all moments of betrayal. Ask AI to extract what inner contracts were really being violated.,Helps renegotiate trust structures and inner agreements.
Mythic Survival Codex,Builds a symbolic survival manual based on the traits that kept you alive.,Describe your harshest moments. Ask AI what mythic skillset helped you endure.,"Reclaims survival as a heroic legacy, not pathology."
Symbolic Emotional Weather Map,Draws a climate map of your inner life using emotional symbolism.,List emotions over a day or week. Ask AI to render them as symbolic meteorological phenomena.,Externalizes emotional data into visual symbolic form.
