Prompt,What it is,How to use it,What it changes
Mythic Voice Reclamation,Helps you recover your authentic voice through symbolic narration.,Describe where you feel silenced. Ask AI to construct a mythic version of your voice's return.,Restores agency through narrative empowerment.
Symbolic Scar Reinterpretation,Rewrites the meaning of psychological scars using archetypal language.,List your scars. Ask AI to reinterpret each one as an emblem of growth.,Reframes past wounds as sources of strength and insight.
Sacred Decision Mirror,Reflects your choices back at you in symbolic form to reveal hidden motives.,Name your options. Ask AI to mirror the symbolic consequences of each.,Uncovers unconscious drivers behind surface-level decisions.
Mythic Timeline Weaving,Merges multiple life timelines into one mythic narrative.,Describe major alternate paths. Ask AI to weave them into a unified symbolic story.,Resolves narrative fragmentation and restores identity coherence.
Symbolic Dream Excavation,Extracts symbolic meaning and actionable insight from remembered dreams.,Describe your dream. Ask AI to decode the symbolic layers and link to current dilemmas.,Makes subconscious material usable in conscious decision-making.
Archetypal Momentum Tracker,Tracks which archetypes are gaining power within your psyche.,Describe recent actions. Ask AI to identify active archetypes and where they’re headed.,Builds self-awareness of symbolic trajectory and potential imbalance.
Sacred Betrayal Alchemy,Transmutes betrayal into a source of self-initiation and mythic clarity.,Describe the betrayal. Ask AI to turn it into a mythic trial of transformation.,Reclaims power and insight from personal rupture.
Symbolic Threshold Guardian,Summons a figure to challenge you before you cross into a new phase.,Describe your transition. Ask AI to construct a mythic guardian and test.,Prepares you for transformation by ritual confrontation.
Mythic Currency Conversion,Turns emotional labor or suffering into symbolic currency with real value.,Describe the emotional cost. Ask AI to convert it into archetypal wealth.,Grants dignity and value to invisible work and sacrifice.
Symbolic Identity Audit,Breaks your self-image into mythic roles to reveal outdated or distorted patterns.,Describe your current identity. Ask AI to deconstruct it into archetypes and update.,Upgrades internal self-model to match evolution.
