Prompt,What it is,How to use it,What it changes
Existential Loop Interrupter,Disrupts repetitive thought patterns rooted in existential dread or meaning crises.,Describe your recurring existential fear. Ask AI to generate pattern-breaking interpretations or counter-narratives.,Unfreezes mental loops through cognitive novelty.
Emotional Economy Tracker,Quantifies your emotional inputs and outputs to reveal imbalance.,Describe how you give and receive emotion daily. Ask AI to tally investments vs. returns.,Informs boundary-setting and energy conservation.
Symbolic Autonomy Contract,Creates a personal creed based on sovereignty and self-definition.,Describe areas where you feel externally defined. Ask AI to help you write a symbolic autonomy oath.,Establishes inner authorship and self-permission.
Time Perception Re-mapping,Shifts your subjective relationship to time by altering symbolic associations.,Describe how you experience time in stress vs. flow. Ask AI to generate alternate metaphors and anchors.,Improves time agency and emotional scheduling.
Story Wound Excision Protocol,Removes self-limiting plotlines embedded in personal narratives.,Describe your life story. Ask AI to identify and remove inherited or fear-based narrative constraints.,Rewrites narrative DNA toward self-liberation.
Cultural Programming Audit,"Identifies beliefs and behaviors encoded by media, norms, or education.",Describe a moral judgment you hold. Ask AI to trace its cultural origin and critique its influence.,Distills independent thought from cultural noise.
Ritual Scar Memory Rewrite,Creates symbolic ceremonies to transform traumatic residue.,Describe a painful memory. Ask AI to design a symbolic ritual that reclaims meaning or restores power.,Converts scars into narrative thresholds.
Identity Diffusion Locator,"Detects where your sense of self is undefined, fluid, or externally absorbed.",Describe where you feel vague or imitative. Ask AI to locate and solidify blurred boundaries.,Reconstructs selfhood from scattered fragments.
Moral Value Deconstruction,Breaks down your internal moral framework to test coherence and source.,List your top moral beliefs. Ask AI to test them for consistency and origin.,Strengthens or replaces inherited moral scaffolding.
Invisibility Clause Identifier,Reveals ways you've made yourself unseen or hard to perceive.,Describe a context where you feel ignored. Ask AI what behavior or internal rule contributes.,Shifts identity from camouflage to visibility.
